matrix.NA..nrow...12.,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.80075076184412,3.3000139684437,3.7358450271129,3.32830304810439,8.21354023976561,3.71131436269471,4.67161083701853,10.2333989461911,4.06343590804463,9.61807868564797,9.80289813095226,11.4832547113915,10.7701889518068,11.6074512160295,3.8033914472323,7.87829559687295,2.70315374280398,3.04708788069541,16.2563387315689,7.36492785631024,8.20212648025877,7.94486775850399,14.5363547596182,11.4505036998389
10.1376218298464,5.39046179512942,6.0280130407642,5.61141238280907,13.377252449497,6.00699949822613,7.68848221995467,17.1136532569356,6.94721534471664,14.3519369266462,14.7457603613736,16.4349544657903,17.3749990637191,18.6690725331422,5.83365913533399,12.4230019724431,4.56140716946119,5.0834818338334,24.8767122306511,11.1901403868795,11.5442894971541,10.1569547707489,22.6225156712366,16.9152977841933
13.380038446708,6.7146901644281,7.43439745036228,7.17755229220957,16.6235899612846,7.42702747927632,9.6367423081147,21.7394769572944,8.99380449428543,16.6818631601782,17.238073012444,18.5701792843594,21.4253937977038,22.9651487946936,6.91742527998083,15.0446802004531,5.83884312991136,6.44442070226885,29.4479038433954,13.176887737227,12.9061379956364,10.7728654565504,27.1206171120618,19.5233904207481
15.8041975587616,7.55354428538248,8.29729977505262,8.25187412977251,18.6645068080018,8.30540554417531,10.8949057792479,24.8495720119765,10.4462481499509,17.8286140718735,18.4947583217078,19.4909105992546,23.9092952608969,25.5787513112063,7.49594458714712,16.557032410525,6.71700248624132,7.35394736864118,31.8719047016701,14.2087689732547,13.461057466483,10.9443532736139,29.6227830710502,20.7681120142526
17.6165949447092,8.08493014944972,8.82674280419483,8.98882451570986,19.9475963081198,8.84873851732215,11.7074129643583,26.9405923092714,11.4770327474981,18.3930257835183,19.1284099487784,19.8879395897646,25.4325459275752,27.1687878232339,7.8047608298553,17.429454198551,7.32068351525987,7.96179153859524,33.1572982398747,14.7447097334524,13.6871733813354,10.9921005721738,31.0146668621751,21.3621598726842
18.9716150290992,8.4215452169292,9.15158828564359,9.4943488868473,20.7542527223491,9.18482468739577,12.2321205568157,28.3464547690431,12.2085701688611,18.670819833641,19.4479126767322,20.0591426505874,26.3666782302927,28.136117818368,7.96960834761149,17.9327230608925,7.73567742515788,8.36801880889706,33.8389137361803,15.0230678316645,13.779310005901,11.0053948373806,31.7889322465461,21.6456713502295
19.9846817237083,8.63477953744148,9.35090073478216,9.84112242098264,21.2613838075598,9.39271546394952,12.5709705542406,29.2916628372538,12.7277348906933,18.8075454413693,19.6090138067677,20.1329672042993,26.9395341482771,28.724612052562,8.05760470386551,18.2230408306671,8.0209604421386,8.6395038428809,34.2003592164905,15.1676420767949,13.8168533941755,11.0090963554291,32.2196340689667,21.780978222831
20.7420905175332,8.76985630564678,9.47319103786547,10.0789979633747,21.5802084434894,9.52130919622554,12.7897959007867,29.9271576440186,13.0961808519305,18.8748395097643,19.6902449570146,20.1648011254019,27.2908376004916,29.0826340982152,8.10457755986834,18.390514747203,8.2170751268038,8.82093952941778,34.3920256852617,15.2427313682123,13.8321513933129,11.0101269679263,32.4592212487386,21.8455539145514
21.3083593367688,8.85542289391903,9.54822357242537,10.2421729698221,21.7806480368017,9.60085263848308,12.9311107381924,30.3544219290024,13.3576632305345,18.9079605301524,19.731203699942,20.1785282457408,27.5062741730455,29.3004438535635,8.12965188447666,18.4871244474692,8.35189201828362,8.94219449462175,34.4936621346087,15.2817314105813,13.8383849483638,11.0104139210373,32.5924967858339,21.8763728957384
21.7317243389352,8.90962644887398,9.59426059335455,10.3541058001641,21.9066609794655,9.65005534140018,13.0223701996131,30.6416859117754,13.5432346345223,18.9242621451047,19.7518561050488,20.1844475238653,27.6383904858834,29.4329527035097,8.14303667322626,18.5428551211083,8.44457041337328,9.02323018758409,34.5475576746167,15.3019873389045,13.8409249673705,11.0104938173011,32.6666341783478,21.8910813653823
22.0482487862839,8.9439625773685,9.62250710413105,10.4308881382266,21.985883160355,9.68049035785962,13.0813044874183,30.8348230372005,13.6749327862749,18.9322855286521,19.7622695554189,20.1869999786154,27.7194107133729,29.5135670694089,8.15018153446061,18.5750041493706,8.50828116075896,9.07738700930962,34.5761372762401,15.3125079077888,13.8419599620889,11.0105160627925,32.707874702217,21.8981010354342
