learning Rate,Asymptote,ModelOutput,Endpoint,Rotation,Clamp_Trials,Change,SDs
0.278023482227805,21.6331201162228,21.0321222111768,20.0028870056336,-30,-30,30.5496485437202,2.46063262793265
0.353779881133747,7.64077033762929,7.57806242141665,12.3595773100492,-15,-15,5.00288700563356,2.02532879923864
0.377218700698808,10.8498716253773,10.7905632817553,2.09747993660785,0,0,12.3595773100492,1.27958857954753
0.363324036472734,10.3925590712319,10.3201445775998,12.2820233782022,-15,-15,12.9025200633921,1.38520361756838
0.323837718052614,22.1328423639185,21.8338930628023,-9.62806578649224,15,15,27.2820233782022,0.810904262123119
0.472269264192136,9.53878838284254,9.53035446256384,-0.293212285817799,0,0,9.62806578649224,0.795669320263638
0.429219095970023,9.93437356337631,9.91356202080854,0.984947271691744,0,0,0.293212285817799,0.33368326842328
0.466693128390243,11.729745835567,11.7181035679792,-10.5436291791633,15,15,15.9849472716917,0.632258322899407
0.356740002520666,13.1380793645864,13.0355652009934,-13.1741419221736,15,15,4.45637082083665,1.14832449022414
0.399164981343269,29.6569041764202,29.547651164301,16.5994380088407,-30,-30,43.1741419221736,1.75059341411474
0.353521414246076,31.080236131341,30.8240356801311,19.693535951964,-30,-30,13.4005619911593,1.76940833020125
0.180567601509702,13.8304838939233,12.283514163522,8.19919200405092,0,360,19.693535951964,2.09320443098119
0.274988570592834,14.2797188871822,13.8642743608065,21.4537378230907,-30,-30,21.8008079959491,2.42337436348057
0.4545780171932,18.4778690294406,18.4543883369491,2.32796510936352,0,0,21.4537378230907,1.06117331804723
0.540439986987393,19.4400372368173,19.4362835187028,-17.9834637840747,30,30,32.3279651093635,1.15161619644507
0.512685020932457,17.486689158561,17.4802531744957,0.0967178790401488,0,360,17.9834637840747,1.43502864289863
0.479938079193402,18.0139873167174,18.0004286974685,0.404715734500553,0,360,0.0967178790401488,0.85877176366727
0.568803974487681,20.1618830984026,20.1599513376738,-19.9147902316735,30,30,30.4047157345006,1.80646127721596
0.444193761790559,26.5462542718133,26.5047434974067,6.88316973905901,-15,-15,34.9147902316735,1.7729355507937
0.362917781413323,28.6470856417969,28.4460695763922,9.8512713044366,-15,-15,8.11683026094099,1.05112031395667
0.449943566864759,28.0231197921978,27.9840360432833,-18.7752159072669,30,30,39.8512713044366,1.20896874563729
0.378353748462243,29.9629708073274,29.8024388936738,-21.2676504498753,30,30,11.2247840927331,2.43155860503141
0.519433573036158,7.84173582442765,7.83926011365876,-13.281763806555,15,15,6.26765044987529,1.16251371770589
0.452996738684387,18.6929683719589,18.6684457251308,6.1264278269641,-15,-15,28.281763806555,1.44575924226136
0.037121376910364,12.4171560694111,4.22668020317669,3.26316801889536,0,360,6.1264278269641,4.39880941928557
0.113577007899132,9.73519012190243,7.15057683487053,9.53957153839739,-15,-15,11.7368319811046,2.62499955649667
0.276148510103962,9.77934218923011,9.49979582909114,18.6487050165656,-30,-30,20.4604284616026,2.1619087845825
0.464553421878189,34.6752146745785,34.6392482902614,-16.0831737603816,30,30,48.6487050165656,1.46146745984936
0.467781074640889,15.0690543559622,15.0544299090485,-0.571112294025704,0,0,16.0831737603816,1.25565239301322
0.318548708068511,17.1922266476278,16.9392297827754,2.25305027969735,0,360,0.571112294025704,2.42354194019905
0.55533499764706,12.933260139797,12.9315220570199,-11.0763782248343,15,15,17.2530502796973,1.58282682582895
0.674372280379085,10.3844192106024,10.3843738877475,-21.6624365185076,30,30,18.9236217751657,1.91965761300931
0.432183985736558,33.773083857369,33.7062718186586,12.3947500071387,-30,-30,51.6624365185076,2.84052350814562
0.521007410659045,21.5489647950636,21.5424026904531,-9.10250172218136,15,15,27.3947500071387,1.76422587968095
0.173260402025119,9.56998782379912,8.38975546438728,-0.587231479942435,0,360,9.10250172218136,3.299816640811
0.24704770570556,7.84828926934888,7.50217693836992,-1.00874709687718,0,0,0.587231479942435,1.92008738514691
