Age,Sex,Experiment
23,M,Variation
25,F,Variation
18,M,Variation
20,F,Variation
21,F,Variation
18,F,Variation
21,F,Variation
34,M,Variation
19,F,Variation
27,M,Variation
20,F,Variation
20,F,Variation
20,F,Variation
18,M,Variation
18,F,Variation
23,F,Variation
18,F,Variation
17,F,Variation
21,M,Variation
18,F,Variation
19,M,Variation
18,M,Variation
18,F,Variation
19,F,Variation
19,F,Variation
19,F,Variation
26,M,Variation
18,F,Variation
23,F,Variation
19,F,Variation
17,F,Variation
18,F,Variation
18,F,Exposure
38,F,Exposure
19,F,Exposure
18,F,Exposure
34,F,Exposure
24,M,Exposure
22,F,Exposure
19,F,Exposure
19,M,Exposure
28,F,Exposure
21,F,Exposure
19,M,Exposure
32,F,Exposure
19,F,Exposure
22,F,Exposure
30,F,Exposure
19,M,Exposure
20,F,Exposure
19,F,Exposure
21,M,Exposure
20,F,Exposure
21,F,Exposure
26,F,Exposure
21,M,Exposure
22,M,Exposure
20,F,Exposure
20,F,Exposure
22,F,Exposure
27,F,Exposure
19,F,Exposure
19,F,Exposure
31,F,Exposure
20,F,Terminal
20,F,Terminal
20,F,Terminal
19,M,Terminal
21,F,Terminal
39,F,Terminal
20,F,Terminal
23,F,Terminal
20,F,Terminal
22,M,Terminal
20,M,Terminal
18,F,Terminal
18,F,Terminal
21,F,Terminal
20,F,Terminal
25,M,Terminal
19,F,Terminal
22,M,Terminal
23,F,Terminal
21,M,Terminal
33,F,Terminal
19,F,Terminal
20,M,Terminal
21,F,Terminal
41,F,Terminal
20,F,Terminal
19,F,Terminal
18,F,Terminal
21,F,Terminal
19,F,Terminal
19,F,Terminal
27,F,Terminal
27,M,Passive
19,F,Passive
20,M,Passive
18,M,Passive
20,F,Passive
46,F,Passive
20,F,Passive
22,F,Passive
19,M,Passive
23,F,Passive
18,F,Passive
20,M,Passive
26,F,Passive
24,F,Passive
19,F,Passive
27,F,Passive
23,F,Passive
18,M,Passive
25,F,Passive
19,M,Passive
18,F,Passive
30,F,Passive
20,F,Passive
19,F,Passive
20,F,Passive
22,F,Passive
18,F,Passive
18,F,Passive
18,F,Passive
18,F,Passive
19,M,Passive
18,F,Passive
21,F,Active
19,F,Active
17,F,Active
19,F,Active
19,F,Active
21,M,Active
18,F,Active
19,F,Active
17,F,Active
19,F,Active
21,F,Active
20,M,Active
17,F,Active
26,M,Active
18,F,Active
19,F,Active
19,F,Active
23,F,Active
19,F,Active
19,F,Active
18,M,Active
19,F,Active
19,M,Active
24,M,Active
18,M,Active
19,F,Active
19,F,Active
19,M,Active
19,F,Active
18,M,Active
19,M,Active
17,F,Active
19,F,Pause
25,F,Pause
20,F,Pause
25,F,Pause
25,F,Pause
22,F,Pause
19,F,Pause
18,F,Pause
21,F,Pause
19,F,Pause
19,F,Pause
20,M,Pause
21,M,Pause
21,M,Pause
18,F,Pause
21,F,Pause
19,F,Pause
19,F,Pause
21,F,Pause
34,F,Pause
19,M,Pause
20,M,Pause
19,M,Pause
18,F,Pause
18,F,Pause
18,F,Pause
18,F,Pause
18,F,Pause
19,F,Pause
19,F,Pause
18,F,Pause
22,F,Pause
18,F,No_Cursor
18,F,No_Cursor
22,M,No_Cursor
18,M,No_Cursor
19,M,No_Cursor
21,F,No_Cursor
18,M,No_Cursor
21,F,No_Cursor
20,F,No_Cursor
18,F,No_Cursor
18,F,No_Cursor
18,F,No_Cursor
20,F,No_Cursor
18,F,No_Cursor
19,M,No_Cursor
29,M,No_Cursor
20,F,No_Cursor
20,M,No_Cursor
21,F,No_Cursor
20,M,No_Cursor
18,M,No_Cursor
23,F,No_Cursor
18,M,No_Cursor
18,F,No_Cursor
20,F,No_Cursor
22,M,No_Cursor
25,F,No_Cursor
19,M,No_Cursor
19,M,No_Cursor
22,F,No_Cursor
32,M,No_Cursor
18,F,No_Cursor
25,F,No_Cursor_I
18,M,No_Cursor_I
19,F,No_Cursor_I
23,M,No_Cursor_I
21,F,No_Cursor_I
21,F,No_Cursor_I
21,F,No_Cursor_I
18,M,No_Cursor_I
18,F,No_Cursor_I
18,F,No_Cursor_I
20,M,No_Cursor_I
18,F,No_Cursor_I
17,F,No_Cursor_I
18,F,No_Cursor_I
19,F,No_Cursor_I
